DATE,ret_true,price_true,price_base_aligned,shape,shape_clipped,mu,rs_vol_daily,sigma_used,var_used,VaR_ret_95,ES_ret_95,VaR_price_95,ES_price_95,viol_95
2024-08-20,-0.001822263221205489,5619.75,5630.0,12.574329987306882,10.0,0.0,0.004364458906581871,0.004364458906581871,1.9048501547241822e-05,-0.007075287665565106,-0.009401652797212934,5590.306716727641,5577.316737682238,0
2024-08-21,0.003862808665971329,5641.5,5619.75,12.663301032697936,10.0,0.0,0.004555537381493384,0.004555537381493384,2.0752920834183597e-05,-0.00738504775395948,-0.00981326246443419,5578.4007489101205,5564.871626605158,0
2024-08-22,-0.008455392816596685,5594.0,5641.5,12.159707097712598,10.0,0.0,0.008561605211726537,0.008561605211726537,7.330108380146301e-05,-0.013879342445088589,-0.018442890931123883,5563.7405627938815,5538.408010102668,0
2024-08-23,0.010403330390220233,5652.5,5594.0,13.092551398081069,10.0,0.0,0.004443476760117625,0.004443476760117625,1.9744485717705425e-05,-0.0072033846545498876,-0.009571868267131519,5553.849051221659,5540.710416219934,0
2024-08-26,-0.0027459160705500807,5637.0,5652.5,12.8340437224418,10.0,0.0,0.0059352801279528135,0.0059352801279528135,3.5227550197271566e-05,-0.009621768741515468,-0.012785420647003441,5598.373764823637,5580.690445676983,0
2024-08-27,0.0013739005418624828,5644.75,5637.0,11.454936285994938,10.0,0.0,0.004727924891967459,0.004727924891967459,2.2353273784085505e-05,-0.00766450764868213,-0.01018460918913562,5593.960320058238,5579.880720500214,0
2024-08-28,-0.0061306278197506,5610.25,5644.75,7.477848125830422,7.477848125830422,0.0,0.009082957208018378,0.009082957208018378,8.2500111642693e-05,-0.014588059603581872,-0.019845493586694296,5563.001774288882,5533.831407541873,0
2024-08-29,-4.456228694493802e-05,5610.0,5610.25,7.473725743868913,7.473725743868913,0.0,0.013090411043917475,0.013090411043917475,0.0001713588612987166,-0.021023900145220414,-0.02860230451430933,5493.531898196659,5452.057047152997,0
2024-08-30,0.009049835519917337,5661.0,5610.0,6.944736813825859,6.944736813825859,0.0,0.0075582393369608295,0.0075582393369608295,5.712698187478208e-05,-0.012097542482422605,-0.016582829822433705,5542.541649515793,5517.737426241908,0
2024-09-03,-0.021290219699793056,5541.75,5661.0,7.23186648667578,7.23186648667578,0.0,0.012936201207566268,0.012936201207566268,0.00016734530168263897,-0.020745873174690472,-0.02831689938792134,5544.767453551157,5502.946387773312,1
2024-09-04,-0.00212251982048528,5530.0,5541.75,9.569167152409126,9.569167152409126,0.0,0.00737139888403471,0.00737139888403471,5.4337521507548176e-05,-0.011936957268984649,-0.015909688102070673,5475.991625338059,5454.280140065127,0
2024-09-05,-0.0032149272636115,5512.25,5530.0,9.581466452858376,9.581466452858376,0.0,0.008436574118660299,0.008436574118660299,7.11757828596488e-05,-0.013662310313101235,-0.018207610997707933,5454.961192919507,5430.223017887161,0
2024-09-06,-0.016969327996964267,5419.5,5512.25,7.117057952773025,7.117057952773025,0.0,0.013258281969576763,0.013258281969576763,0.00017578204078480428,-0.02124644169965647,-0.029048092983816397,5396.3696830476365,5354.432889409419,0
2024-09-09,0.01101029564764211,5479.5,5419.5,9.728627927070182,9.728627927070182,0.0,0.007032017448306616,0.007032017448306616,4.944926939328868e-05,-0.011392126989891128,-0.015166079383603025,5358.110709004304,5337.927563338962,0
2024-09-10,0.004461244709732526,5504.0,5479.5,10.542937862201166,10.0,0.0,0.008697378057752635,0.008697378057752635,7.5644385079477e-05,-0.014099445775963906,-0.018735364565301487,5402.7841830067055,5377.795282309673,0
2024-09-11,0.01034780250707179,5561.25,5504.0,10.794000677079366,10.0,0.0,0.021187994465804865,0.021187994465804865,0.0004489311094829776,-0.03434816528479526,-0.04564189323362799,5318.157641286611,5258.433703455696,0
2024-09-12,0.0073453996230092855,5602.25,5561.25,11.230163610679584,10.0,0.0,0.0065602135378866125,0.0065602135378866125,4.303640166267079e-05,-0.010634857360687968,-0.014131614314382333,5502.420276830147,5483.213251186082,0
2024-09-13,0.004896733431188238,5629.75,5602.25,11.500595710625085,10.0,0.0,0.004152754724179866,0.004152754724179866,1.7245371799198195e-05,-0.006732090943460889,-0.008945612481273681,5564.661809033236,5552.357932739635,0
2024-09-16,0.0014643564996088543,5638.0,5629.75,11.930474736328692,10.0,0.0,0.003788851559995549,0.003788851559995549,1.4355396143680704e-05,-0.006142162243449399,-0.008161714345285138,5595.277139438534,5583.98858847642,0
2024-09-17,0.01098064083589989,5700.25,5638.0,11.138749858463372,10.0,0.0,0.007716430715966168,0.007716430715966168,5.954330299430615e-05,-0.012509217805792394,-0.016622267267967058,5567.9123150135665,5545.05824843284,0
2024-09-18,-0.0035588007947602307,5680.0,5700.25,10.842327599112725,10.0,0.0,0.011419706161874493,0.011419706161874493,0.00013040968882355427,-0.018512651368910945,-0.024599638736024176,5595.694049054315,5561.736584244761,0
2024-09-19,0.017106369310983638,5778.0,5680.0,11.185079971153025,10.0,0.0,0.008161770868449174,0.008161770868449174,6.661450370906558e-05,-0.013231165189256615,-0.017581592027329312,5605.3419771973895,5581.009314135515,0
2024-09-20,-0.0027729653817072375,5762.0,5778.0,12.135614831051816,10.0,0.0,0.006078769616447008,0.006078769616447008,3.6951440049839306e-05,-0.009854381633471031,-0.013094517004592618,5721.341011078342,5702.833091971847,0
2024-09-23,0.0025566041441411613,5776.75,5762.0,11.16760350404883,10.0,0.0,0.004598151543024726,0.004598151543024726,2.1142997612620668e-05,-0.007454130189586589,-0.009905059307877447,5719.208984883098,5705.208772820495,0
2024-09-24,0.00263641427693706,5792.0,5776.75,10.17505538851134,10.0,0.0,0.004786047898987813,0.004786047898987813,2.2906254491405658e-05,-0.00775873169877835,-0.010309814247364317,5732.103172009154,5717.498740116511,0
2024-09-25,-0.0022469977477737046,5779.0,5792.0,10.277392607925298,10.0,0.0,0.0034379932524671772,0.0034379932524671772,1.181979760400984e-05,-0.00557338074985511,-0.007405916648708147,5759.808769018867,5749.263378034002,0
2024-09-26,0.004402821460312012,5804.5,5779.0,10.222834444018297,10.0,0.0,0.006262543641349671,0.006262543641349671,3.9219452859809194e-05,-0.010152300371962119,-0.013490391868410353,5720.626669317359,5701.562530700066,0
2024-09-27,-0.002285321047232003,5791.25,5804.5,6.945647594808179,6.945647594808179,0.0,0.00464756710495216,0.00464756710495216,2.15998799950334e-05,-0.007438837253995182,-0.010196717714058353,5761.481471449249,5745.613884789,0
2024-09-30,0.003963643119506699,5814.25,5791.25,7.110974670511225,7.110974670511225,0.0,0.0073932174385900095,0.0073932174385900095,5.465966409427142e-05,-0.011847171773263075,-0.016198876319856927,5723.044883081023,5698.193993724509,0
2024-10-01,-0.009417729880134118,5759.75,5814.25,7.0750082199223145,7.0750082199223145,0.0,0.009412034882518372,0.009412034882518372,8.858640062974263e-05,-0.015078522496383626,-0.02062813288113123,5727.23736020529,5695.5414555838615,0
2024-10-02,8.680555561113579e-05,5760.25,5759.75,10.239859685277784,10.0,0.0,0.006703435043545886,0.006703435043545886,4.4936041383039036e-05,-0.010867035821781177,-0.014440133399594003,5697.49745338108,5677.176065801481,0
